tau_slope,tau_rms,recall,precision
20,30,1.0,0.2898550724637681
20,60,1.0,0.2909090909090909
20,90,1.0,0.291970802919708
20,150,1.0,0.29304029304029305
20,250,0.8375,0.2627450980392157
20,350,0.8375,0.2637795275590551
20,450,0.35,0.13023255813953488
30,30,1.0,0.6896551724137931
30,60,1.0,0.7017543859649122
30,90,1.0,0.7142857142857143
30,150,1.0,0.7407407407407407
30,250,0.7625,0.7261904761904762
30,350,0.7625,0.7349397590361446
30,450,0.275,0.5
40,30,1.0,0.6896551724137931
40,60,1.0,0.7017543859649122
40,90,1.0,0.7142857142857143
40,150,1.0,0.7407407407407407
40,250,0.7625,0.7261904761904762
40,350,0.7625,0.7349397590361446
40,450,0.275,0.5
60,30,1.0,0.6896551724137931
60,60,1.0,0.7017543859649122
60,90,1.0,0.7142857142857143
60,150,1.0,0.7407407407407407
60,250,0.7625,0.7261904761904762
60,350,0.7625,0.7349397590361446
60,450,0.275,0.5
100,30,1.0,0.6896551724137931
100,60,1.0,0.7017543859649122
100,90,1.0,0.7142857142857143
100,150,1.0,0.7407407407407407
100,250,0.7625,0.7261904761904762
100,350,0.7625,0.7349397590361446
100,450,0.275,0.5
200,30,0.9875,0.6869565217391305
200,60,0.975,0.6964285714285714
200,90,0.9625,0.7064220183486238
200,150,0.925,0.7254901960784313
200,250,0.625,0.684931506849315
200,350,0.625,0.6944444444444444
200,450,0.1375,0.3333333333333333
300,30,0.9875,0.6869565217391305
300,60,0.975,0.6964285714285714
300,90,0.9625,0.7064220183486238
300,150,0.925,0.7254901960784313
300,250,0.625,0.8064516129032258
300,350,0.625,0.819672131147541
300,450,0.1375,0.5
400,30,0.9875,0.6869565217391305
400,60,0.975,0.6964285714285714
400,90,0.9625,0.7064220183486238
400,150,0.925,0.7254901960784313
400,250,0.625,0.8064516129032258
400,350,0.625,0.819672131147541
400,450,0.1375,0.5
500,30,0.975,0.6842105263157895
500,60,0.95,0.6909090909090909
500,90,0.9375,0.7009345794392523
500,150,0.875,0.7142857142857143
500,250,0.5375,0.7818181818181819
500,350,0.5125,0.803921568627451
500,450,0.0,0.0
