index,time_s,pu,adc_value,label
0,0.00,1.0030,684,normal
1,0.02,0.9896,674,normal
2,0.04,1.0075,687,normal
3,0.06,1.0094,688,normal
4,0.08,0.9805,668,normal
5,0.10,0.9870,673,normal
6,0.12,1.0013,682,normal
7,0.14,0.9968,679,normal
8,0.16,0.9998,681,normal
9,0.18,0.9915,676,normal
10,0.20,1.0088,687,normal
11,0.22,1.0078,687,normal
12,0.24,1.0007,682,normal
13,0.26,1.0113,689,normal
14,0.28,1.0047,685,normal
15,0.30,0.9914,676,normal
16,0.32,1.0037,684,normal
17,0.34,0.9904,675,normal
18,0.36,1.0088,687,normal
19,0.38,0.9995,681,normal
20,0.40,0.9982,680,normal
21,0.42,0.9932,677,normal
22,0.44,1.0122,690,normal
23,0.46,0.9985,680,normal
24,0.48,0.9957,679,normal
25,0.50,0.9965,679,normal
26,0.52,1.0053,685,normal
27,0.54,1.0037,684,normal
28,0.56,1.0041,684,normal
29,0.58,1.0043,684,normal
30,0.60,1.0214,696,normal
31,0.62,0.9959,679,normal
32,0.64,0.9949,678,normal
33,0.66,0.9919,676,normal
34,0.68,1.0062,686,normal
35,0.70,1.0113,689,normal
36,0.72,0.9989,681,normal
37,0.74,0.9916,676,normal
38,0.76,0.9918,676,normal
39,0.78,1.0065,686,normal
40,0.80,1.0074,687,normal
41,0.82,1.0054,685,normal
42,0.84,0.9933,677,normal
43,0.86,1.0023,683,normal
44,0.88,1.0012,682,normal
45,0.90,1.0022,683,normal
46,0.92,1.0087,687,normal
47,0.94,1.0022,683,normal
48,0.96,1.0068,686,normal
49,0.98,1.0007,682,normal
50,1.00,1.0029,683,normal
51,1.02,1.0063,686,normal
52,1.04,0.9854,672,normal
53,1.06,0.9968,679,normal
54,1.08,0.9953,678,normal
55,1.10,0.9936,677,normal
56,1.12,0.9972,680,normal
57,1.14,1.0149,692,normal
58,1.16,0.9913,676,normal
59,1.18,1.0097,688,normal
60,1.20,0.9832,670,normal
