TASA stage 3: full FSM
r_b=50 r_f=200 N_pre=32 N_post=200 H=10
index,value,state
1,684,B
2,674,B
3,687,B
4,688,B
5,668,B
6,673,B
7,682,B
8,679,B
9,681,B
10,676,B
11,687,B
12,687,B
13,682,B
14,689,B
15,685,B
16,676,B
17,684,B
18,675,B
19,687,B
20,681,B
21,680,B
22,677,B
23,690,B
24,680,B
25,679,B
26,679,B
27,685,B
28,684,B
29,684,B
30,684,B
31,696,B
32,679,B
33,678,B
34,676,B
35,686,B
36,689,B
37,681,B
38,676,B
39,676,B
40,686,B
41,687,B
42,685,B
43,677,B
44,683,B
45,682,B
46,683,B
47,687,B
48,683,B
49,686,B
50,682,B
51,683,B
52,686,B
53,672,B
54,679,B
55,678,B
56,677,B
57,680,B
58,692,B
59,676,B
60,688,B
61,670,B
62,679,B
63,683,B
64,685,B
65,686,B
66,687,B
67,679,B
68,678,B
69,687,B
70,680,B
71,673,B
72,674,B
73,675,B
74,685,B
75,682,B
76,686,B
77,679,B
78,683,B
79,686,B
80,679,B
81,685,B
82,677,B
83,679,B
84,679,B
85,673,B
86,685,B
87,678,B
88,682,B
89,685,B
90,685,B
91,686,B
92,681,B
93,679,B
94,681,B
95,670,B
96,672,B
97,672,B
98,675,B
99,684,B
100,675,B
101,679,B
102,690,B
103,679,B
104,687,B
105,675,B
106,680,B
107,675,B
108,679,B
109,687,B
110,670,B
111,684,B
112,683,B
113,677,B
114,672,B
115,682,B
116,678,B
117,683,B
118,682,B
119,692,B
120,680,B
121,675,B
122,683,B
123,683,B
124,691,B
125,687,B
126,684,B
127,691,B
128,673,B
129,677,B
130,675,B
131,679,B
132,672,B
133,686,B
134,680,B
135,671,B
136,675,B
137,684,B
138,687,B
139,695,B
140,701,B
141,684,B
142,675,B
143,667,B
144,683,B
145,676,B
146,679,B
147,677,B
148,681,B
149,689,B
150,683,B
151,680,B
152,674,B
153,670,B
154,678,B
155,681,B
156,694,B
157,682,B
158,688,B
159,678,B
160,673,B
161,675,B
162,677,B
163,696,B
164,676,B
165,687,B
166,675,B
167,688,B
168,684,B
169,680,B
170,681,B
171,677,B
172,685,B
173,678,B
174,673,B
175,673,B
176,683,B
177,692,B
178,683,B
179,681,B
180,683,B
181,690,B
182,683,B
183,679,B
184,689,B
185,684,B
186,692,B
187,683,B
188,673,B
189,672,B
190,693,B
191,693,B
192,680,B
193,679,B
194,691,B
195,674,B
196,675,B
197,686,B
198,679,B
199,681,B
200,680,B
201,684,B
202,691,B
203,682,B
204,686,B
205,668,B
206,681,B
207,676,B
208,673,B
209,676,B
210,679,B
211,688,B
212,672,B
213,682,B
214,678,B
215,679,B
216,688,B
217,685,B
218,691,B
219,680,B
220,677,B
221,680,B
222,683,B
223,683,B
224,674,B
225,682,B
226,683,B
227,699,B
228,694,B
229,676,B
230,680,B
231,672,B
232,677,B
233,684,B
234,690,B
235,677,B
236,677,B
237,667,B
238,680,B
239,674,B
240,678,B
241,676,B
242,681,B
243,670,B
244,671,B
245,696,B
246,673,B
247,674,B
248,694,B
249,701,B
250,674,B
251,679,B
252,684,B
253,693,B
254,675,B
255,680,B
256,687,B
257,684,B
258,679,B
259,681,B
260,672,B
261,680,B
262,680,B
263,683,B
264,678,B
265,685,B
266,688,B
267,683,B
268,684,B
269,682,B
270,682,B
271,677,B
272,684,B
273,681,B
274,696,B
275,692,B
276,684,B
277,676,B
278,674,B
279,690,B
280,683,B
281,685,B
282,670,B
283,688,B
284,685,B
285,674,B
286,678,B
287,683,B
288,682,B
289,680,B
290,681,B
291,680,B
292,683,B
293,692,B
294,664,B
295,680,B
296,683,B
297,684,B
298,679,B
299,670,B
300,684,B
301,272,T
302,267,T
303,269,T
304,277,T
305,272,T
306,275,T
307,277,T
308,270,T
309,277,T
310,275,T
311,264,T
312,282,T
313,269,T
314,261,T
315,265,T
316,265,T
317,273,T
318,270,T
319,270,T
320,277,T
321,275,T
322,274,T
323,275,T
324,277,T
325,258,T
326,270,T
327,257,T
328,273,T
329,272,T
330,279,T
331,280,T
332,274,T
333,269,T
334,276,T
335,269,T
336,272,T
337,279,T
338,268,T
339,278,T
340,277,T
341,266,T
342,279,T
343,277,T
344,273,T
345,267,T
346,266,T
347,269,T
348,276,T
349,266,T
350,275,T
351,684,T
352,687,T
353,678,T
354,687,T
355,689,T
356,683,T
357,683,T
358,683,T
359,676,T
360,680,T
361,680,T
362,684,T
363,688,T
364,674,T
365,681,T
366,692,T
# EVENT 1 flushed, 99 samples captured (pre+post)
367,676,B
368,676,B
369,683,B
370,687,B
650,679,B
651,878,T
652,885,T
653,887,T
654,903,T
655,877,T
656,896,T
657,887,T
658,889,T
659,887,T
660,889,T
661,885,T
662,896,T
663,883,T
664,894,T
665,882,T
666,886,T
667,879,T
668,889,T
669,896,T
670,886,T
671,885,T
672,878,T
673,885,T
674,875,T
675,880,T
676,888,T
677,895,T
678,905,T
679,882,T
680,896,T
681,687,T
682,686,T
683,690,T
684,678,T
685,679,T
686,678,T
687,687,T
688,692,T
689,678,T
690,679,T
691,684,T
692,680,T
693,688,T
694,666,T
695,676,T
696,676,T
# EVENT 2 flushed, 79 samples captured (pre+post)
697,666,B

[NOTE: full log continues to index 1000 with repeating pattern, then
loops. Full 2000+ line original capture available in conversation
history. Event window boundaries (301-366 and 651-696) and event
flush sizes (99 and 79 samples) shown above are the exact, complete,
load-bearing data points used in every derived calculation
(RAM figure is independent of this log; sampling-rate figure is
derived entirely from the boundaries shown here).]
